Category: All categories,
,
Day,dupixent: (United States)
2025-12-18,65
2025-12-19,56
2025-12-20,39
2025-12-21,31
2025-12-22,54
2025-12-23,51
2025-12-24,43
2025-12-25,29
2025-12-26,35
2025-12-27,36
2025-12-28,37
2025-12-29,53
2025-12-30,63
2025-12-31,52
2026-01-01,31
2026-01-02,46
2026-01-03,38
2026-01-04,32
2026-01-05,66
2026-01-06,78
2026-01-07,71
2026-01-08,74
2026-01-09,63
2026-01-10,43
2026-01-11,31
2026-01-12,59
2026-01-13,71
2026-01-14,66
2026-01-15,61
2026-01-16,64
2026-01-17,41
2026-01-18,36
2026-01-19,48
2026-01-20,65
2026-01-21,65
2026-01-22,64
2026-01-23,65
2026-01-24,46
2026-01-25,45
2026-01-26,69
2026-01-27,61
2026-01-28,69
2026-01-29,73
2026-01-30,75
2026-01-31,97
2026-02-01,80
2026-02-02,86
2026-02-03,91
2026-02-04,100
2026-02-05,84
2026-02-06,73
2026-02-07,49
2026-02-08,42
2026-02-09,56
2026-02-10,69
2026-02-11,70
2026-02-12,71
2026-02-13,67
2026-02-14,49
2026-02-15,39
2026-02-16,61
2026-02-17,74
2026-02-18,69
2026-02-19,71
2026-02-20,55
2026-02-21,40
2026-02-22,39
2026-02-23,61
2026-02-24,66
2026-02-25,71
2026-02-26,66
2026-02-27,68
2026-02-28,38
2026-03-01,34
2026-03-02,62
2026-03-03,67
2026-03-04,63
2026-03-05,64
2026-03-06,60
2026-03-07,43
2026-03-08,40
2026-03-09,73
2026-03-10,69
2026-03-11,78
2026-03-12,75
2026-03-13,59
2026-03-14,40
2026-03-15,37
2026-03-16,66
2026-03-17,74
2026-03-18,76
