Category: All categories,
,
Week,humira: (United States)
2021-03-14,78
2021-03-21,77
2021-03-28,77
2021-04-04,82
2021-04-11,77
2021-04-18,81
2021-04-25,82
2021-05-02,83
2021-05-09,82
2021-05-16,84
2021-05-23,78
2021-05-30,69
2021-06-06,73
2021-06-13,67
2021-06-20,72
2021-06-27,71
2021-07-04,76
2021-07-11,80
2021-07-18,77
2021-07-25,75
2021-08-01,76
2021-08-08,85
2021-08-15,84
2021-08-22,81
2021-08-29,75
2021-09-05,65
2021-09-12,77
2021-09-19,73
2021-09-26,74
2021-10-03,69
2021-10-10,73
2021-10-17,79
2021-10-24,80
2021-10-31,79
2021-11-07,79
2021-11-14,83
2021-11-21,67
2021-11-28,81
2021-12-05,85
2021-12-12,80
2021-12-19,69
2021-12-26,77
2022-01-02,74
2022-01-09,70
2022-01-16,72
2022-01-23,77
2022-01-30,81
2022-02-06,82
2022-02-13,77
2022-02-20,70
2022-02-27,77
2022-03-06,74
2022-03-13,71
2022-03-20,71
2022-03-27,72
2022-04-03,72
2022-04-10,66
2022-04-17,71
2022-04-24,68
2022-05-01,69
2022-05-08,68
2022-05-15,73
2022-05-22,66
2022-05-29,64
2022-06-05,72
2022-06-12,71
2022-06-19,72
2022-06-26,66
2022-07-03,64
2022-07-10,80
2022-07-17,74
2022-07-24,73
2022-07-31,73
2022-08-07,76
2022-08-14,69
2022-08-21,71
2022-08-28,66
2022-09-04,58
2022-09-11,67
2022-09-18,67
2022-09-25,64
2022-10-02,70
2022-10-09,65
2022-10-16,69
2022-10-23,70
2022-10-30,68
2022-11-06,67
2022-11-13,66
2022-11-20,56
2022-11-27,74
2022-12-04,68
2022-12-11,66
2022-12-18,56
2022-12-25,55
2023-01-01,66
2023-01-08,72
2023-01-15,68
2023-01-22,78
2023-01-29,100
2023-02-05,82
2023-02-12,76
2023-02-19,70
2023-02-26,80
2023-03-05,74
2023-03-12,72
2023-03-19,71
2023-03-26,69
2023-04-02,67
2023-04-09,68
2023-04-16,72
2023-04-23,68
2023-04-30,68
2023-05-07,72
2023-05-14,70
2023-05-21,71
2023-05-28,66
2023-06-04,75
2023-06-11,79
2023-06-18,67
2023-06-25,71
2023-07-02,69
2023-07-09,67
2023-07-16,71
2023-07-23,66
2023-07-30,64
2023-08-06,65
2023-08-13,63
2023-08-20,65
2023-08-27,70
2023-09-03,59
2023-09-10,61
2023-09-17,66
2023-09-24,67
2023-10-01,61
2023-10-08,70
2023-10-15,71
2023-10-22,67
2023-10-29,61
2023-11-05,63
2023-11-12,63
2023-11-19,50
2023-11-26,61
2023-12-03,68
2023-12-10,60
2023-12-17,57
2023-12-24,46
2023-12-31,64
2024-01-07,67
2024-01-14,63
2024-01-21,69
2024-01-28,65
2024-02-04,73
2024-02-11,75
2024-02-18,72
2024-02-25,67
2024-03-03,71
2024-03-10,68
2024-03-17,69
2024-03-24,67
2024-03-31,67
2024-04-07,60
2024-04-14,69
2024-04-21,62
2024-04-28,65
2024-05-05,61
2024-05-12,65
2024-05-19,62
2024-05-26,54
2024-06-02,62
2024-06-09,61
2024-06-16,59
2024-06-23,61
2024-06-30,46
2024-07-07,59
2024-07-14,53
2024-07-21,61
2024-07-28,60
2024-08-04,58
2024-08-11,59
2024-08-18,59
2024-08-25,56
2024-09-01,55
2024-09-08,57
2024-09-15,55
2024-09-22,56
2024-09-29,57
2024-10-06,58
2024-10-13,56
2024-10-20,59
2024-10-27,59
2024-11-03,55
2024-11-10,59
2024-11-17,60
2024-11-24,45
2024-12-01,58
2024-12-08,57
2024-12-15,53
2024-12-22,41
2024-12-29,54
2025-01-05,63
2025-01-12,62
2025-01-19,59
2025-01-26,62
2025-02-02,62
2025-02-09,57
2025-02-16,62
2025-02-23,60
2025-03-02,60
2025-03-09,56
2025-03-16,56
2025-03-23,55
2025-03-30,55
2025-04-06,54
2025-04-13,54
2025-04-20,55
2025-04-27,55
2025-05-04,53
2025-05-11,55
2025-05-18,56
2025-05-25,44
2025-06-01,54
2025-06-08,56
2025-06-15,57
2025-06-22,75
2025-06-29,58
2025-07-06,65
2025-07-13,65
2025-07-20,68
2025-07-27,62
2025-08-03,53
2025-08-10,56
2025-08-17,56
2025-08-24,56
2025-08-31,55
2025-09-07,53
2025-09-14,55
2025-09-21,56
2025-09-28,57
2025-10-05,56
2025-10-12,56
2025-10-19,60
2025-10-26,56
2025-11-02,60
2025-11-09,65
2025-11-16,60
2025-11-23,45
2025-11-30,57
2025-12-07,55
2025-12-14,49
2025-12-21,42
2025-12-28,45
2026-01-04,56
2026-01-11,59
2026-01-18,59
2026-01-25,58
2026-02-01,71
2026-02-08,72
2026-02-15,60
2026-02-22,61
2026-03-01,58
2026-03-08,58
2026-03-15,64
