Category: All categories,
,
Day,humira: (United States)
2025-12-18,75
2025-12-19,69
2025-12-20,52
2025-12-21,38
2025-12-22,62
2025-12-23,61
2025-12-24,50
2025-12-25,35
2025-12-26,61
2025-12-27,40
2025-12-28,42
2025-12-29,70
2025-12-30,69
2025-12-31,62
2026-01-01,42
2026-01-02,64
2026-01-03,41
2026-01-04,27
2026-01-05,63
2026-01-06,72
2026-01-07,86
2026-01-08,78
2026-01-09,78
2026-01-10,46
2026-01-11,36
2026-01-12,64
2026-01-13,92
2026-01-14,84
2026-01-15,80
2026-01-16,78
2026-01-17,49
2026-01-18,50
2026-01-19,63
2026-01-20,84
2026-01-21,82
2026-01-22,80
2026-01-23,82
2026-01-24,54
2026-01-25,47
2026-01-26,61
2026-01-27,72
2026-01-28,82
2026-01-29,92
2026-01-30,82
2026-01-31,56
2026-02-01,46
2026-02-02,78
2026-02-03,90
2026-02-04,89
2026-02-05,100
2026-02-06,100
2026-02-07,87
2026-02-08,83
2026-02-09,80
2026-02-10,99
2026-02-11,94
2026-02-12,75
2026-02-13,90
2026-02-14,83
2026-02-15,62
2026-02-16,98
2026-02-17,86
2026-02-18,83
2026-02-19,76
2026-02-20,72
2026-02-21,52
2026-02-22,56
2026-02-23,83
2026-02-24,80
2026-02-25,82
2026-02-26,81
2026-02-27,74
2026-02-28,45
2026-03-01,49
2026-03-02,69
2026-03-03,91
2026-03-04,72
2026-03-05,86
2026-03-06,71
2026-03-07,47
2026-03-08,50
2026-03-09,73
2026-03-10,85
2026-03-11,71
2026-03-12,86
2026-03-13,67
2026-03-14,47
2026-03-15,49
2026-03-16,78
2026-03-17,81
2026-03-18,92
