Category: All categories,
,
Region,rinvoq: (3/18/25 - 3/18/26)
New York,100
Idaho,87
Alabama,79
West Virginia,74
Kentucky,72
Connecticut,70
Illinois,70
Rhode Island,67
Massachusetts,67
North Carolina,66
Michigan,64
Louisiana,64
Oklahoma,62
Maine,61
New Hampshire,60
South Dakota,60
Pennsylvania,60
Colorado,59
South Carolina,59
New Jersey,59
Georgia,59
Ohio,58
Wisconsin,58
Tennessee,57
Arkansas,57
Montana,56
Mississippi,56
Missouri,56
Wyoming,56
Utah,56
Indiana,56
Maryland,54
Virginia,53
Vermont,53
Florida,53
Nevada,53
Kansas,53
District of Columbia,51
Delaware,51
Arizona,50
Texas,50
Hawaii,47
New Mexico,45
Nebraska,45
Oregon,45
Minnesota,45
Washington,45
North Dakota,45
Iowa,44
Alaska,41
California,40
