Category: All categories,
,
Region,rinvoq: (12/18/25 - 3/18/26)
Alabama,100
Illinois,83
Rhode Island,82
Alaska,81
New York,79
Massachusetts,79
Connecticut,79
North Carolina,78
Oklahoma,77
Idaho,77
South Carolina,74
Pennsylvania,72
West Virginia,72
Georgia,72
Vermont,70
Maine,70
Kentucky,70
Florida,70
Virginia,69
Louisiana,69
South Dakota,69
Tennessee,69
New Hampshire,68
Ohio,67
Colorado,67
Wisconsin,67
Indiana,66
New Jersey,66
Michigan,66
Nevada,66
Kansas,65
Utah,64
Arizona,64
District of Columbia,64
Montana,63
Missouri,63
Mississippi,62
Iowa,61
Arkansas,60
Texas,60
Maryland,59
Nebraska,58
Delaware,56
Washington,55
Oregon,54
New Mexico,53
Minnesota,49
Hawaii,48
California,48
Wyoming,11
North Dakota,10
