Category: All categories,
,
Day,rinvoq: (United States)
2025-12-18,70
2025-12-19,65
2025-12-20,47
2025-12-21,43
2025-12-22,67
2025-12-23,60
2025-12-24,45
2025-12-25,24
2025-12-26,49
2025-12-27,38
2025-12-28,40
2025-12-29,65
2025-12-30,68
2025-12-31,51
2026-01-01,31
2026-01-02,47
2026-01-03,33
2026-01-04,38
2026-01-05,73
2026-01-06,75
2026-01-07,84
2026-01-08,82
2026-01-09,71
2026-01-10,50
2026-01-11,45
2026-01-12,79
2026-01-13,76
2026-01-14,77
2026-01-15,82
2026-01-16,75
2026-01-17,63
2026-01-18,63
2026-01-19,75
2026-01-20,70
2026-01-21,83
2026-01-22,65
2026-01-23,74
2026-01-24,64
2026-01-25,38
2026-01-26,67
2026-01-27,68
2026-01-28,84
2026-01-29,73
2026-01-30,88
2026-01-31,37
2026-02-01,39
2026-02-02,69
2026-02-03,90
2026-02-04,100
2026-02-05,100
2026-02-06,72
2026-02-07,59
2026-02-08,50
2026-02-09,67
2026-02-10,74
2026-02-11,91
2026-02-12,79
2026-02-13,94
2026-02-14,64
2026-02-15,53
2026-02-16,77
2026-02-17,84
2026-02-18,98
2026-02-19,90
2026-02-20,86
2026-02-21,52
2026-02-22,37
2026-02-23,69
2026-02-24,83
2026-02-25,82
2026-02-26,82
2026-02-27,64
2026-02-28,44
2026-03-01,41
2026-03-02,86
2026-03-03,93
2026-03-04,90
2026-03-05,83
2026-03-06,76
2026-03-07,52
2026-03-08,45
2026-03-09,75
2026-03-10,81
2026-03-11,77
2026-03-12,89
2026-03-13,72
2026-03-14,49
2026-03-15,45
2026-03-16,71
2026-03-17,78
2026-03-18,53
